,1,3088599959
2998,2,3088602957
4499,3,3088607456
4499,4,3088611955
2998,5,3088614953
4499,6,3088619452
5998,7,3088625450
5998,8,3088631448
4498,9,3088635946
4499,10,3088640445
4498,11,3088644943
5998,12,3088650941
1500,13,3088652441
8996,14,3088661437
4499,15,3088665936
2999,16,3088668935
5998,17,3088674933
5998,18,3088680931
4498,19,3088685429
5998,20,3088691427
4499,21,3088695926
4498,22,3088700424
2999,23,3088703423
7497,24,3088710920
4499,25,3088715419
2999,26,3088718418
7497,27,3088725915
5998,28,3088731913
4499,29,3088736412
5997,30,3088742409
4499,31,3088746908
5998,32,3088752906
4498,33,3088757404
4499,34,3088761903
5998,35,3088767901
1499,36,3088769400
7498,37,3088776898
5997,38,3088782895
2999,39,3088785894
5999,40,3088791893
5997,41,3088797890
4499,42,3088802389
5998,43,3088808387
4498,44,3088812885
4499,45,3088817384
2999,46,3088820383
7497,47,3088827880
5998,48,3088833878
2999,49,3088836877
7506,50,3088844383
4489,51,3088848872
5998,52,3088854870
4499,53,3088859369
4498,54,3088863867
5998,55,3088869865
4499,56,3088874364
4498,57,3088878862
5998,58,3088884860
4499,59,3088889359
4498,60,3088893857
4499,61,3088898356
3000,62,3088901356
8995,63,3088910351
4499,64,3088914850
4498,65,3088919348
5998,66,3088925346
4499,67,3088929845
5997,68,3088935842
4499,69,3088940341
5998,70,3088946339
4499,71,3088950838
2998,72,3088953836
7498,73,3088961334
4498,74,3088965832
2999,75,3088968831
7498,76,3088976329
4498,77,3088980827
5998,78,3088986825
4498,79,3088991323
4499,80,3088995822
4498,81,3089000320
2999,82,3089003319
7498,83,3089010817
4498,84,3089015315
2999,85,3089018314
8997,86,3089027311
4499,87,3089031810
5997,88,3089037807
4499,89,3089042306
5998,90,3089048304
4498,91,3089052802
5998,92,3089058800
4499,93,3089063299
4498,94,3089067797
3000,95,3089070797
7498,96,3089078295
4498,97,3089082793
2999,98,3089085792
7497,99,3089093289
4499,100,3089097788
5997,101,3089103785
4499,102,3089108284
5997,103,3089114281
4499,104,3089118780
2998,105,3089121778
7498,106,3089129276
4498,107,3089133774
2999,108,3089136773
7498,109,3089144271
6002,110,3089150273
4494,111,3089154767
4498,112,3089159265
5998,113,3089165263
4499,114,3089169762
4499,115,3089174261
5997,116,3089180258
4499,117,3089184757
2999,118,3089187756
7497,119,3089195253
4499,120,3089199752
4498,121,3089204250
5998,122,3089210248
4498,123,3089214746
5998,124,3089220744
4499,125,3089225243
4498,126,3089229741
5998,127,3089235739
1500,128,3089237239
8997,129,3089246236
4498,130,3089250734
2999,131,3089253733
7497,132,3089261230
5999,133,3089267229
4498,134,3089271727
4498,135,3089276225
5998,136,3089282223
4499,137,3089286722
4498,138,3089291220
5998,139,3089297218
4498,140,3089301716
2999,141,3089304715
7498,142,3089312213
4498,143,3089316711
2999,144,3089319710
7498,145,3089327208
4498,146,3089331706
5998,147,3089337704
5998,148,3089343702
4498,149,3089348200
4499,150,3089352699
5998,151,3089358697
4498,152,3089363195
5998,153,3089369193
1500,154,3089370693
7497,155,3089378190
4498,156,3089382688
2999,157,3089385687
8997,158,3089394684
4499,159,3089399183
4498,160,3089403681
5998,161,3089409679
4499,162,3089414178
4498,163,3089418676
2999,164,3089421675
7497,165,3089429172
4499,166,3089433671
2999,167,3089436670
7497,168,3089444167
5998,169,3089450165
4499,170,3089454664
4498,171,3089459162
5998,172,3089465160
4498,173,3089469658
5998,174,3089475656
4499,175,3089480155
4498,176,3089484653
2999,177,3089487652
7498,178,3089495150
4498,179,3089499648
5998,180,3089505646
4498,181,3089510144
4499,182,3089514643
5998,183,3089520641
4498,184,3089525139
4499,185,3089529638
6001,186,3089535639
2995,187,3089538634
7498,188,3089546132
5998,189,3089552130
4498,190,3089556628
4499,191,3089561127
5998,192,3089567125
4498,193,3089571623
5998,194,3089577621
4499,195,3089582120
4498,196,3089586618
5998,197,3089592616
-3089592616,198,0
0,199,0
0,200,0
0,201,0
